SK_ID_CURR,TARGET
100001,0.36590213
100005,0.13901167
100013,0.036006626
100028,0.027089823
100038,0.7696223
100042,0.40607035
100057,0.07511376
100065,0.053375762
100066,0.024174681
100067,0.18661642
100074,0.6516518
100090,0.10416393
100091,0.43793464
100092,0.22020842
100106,0.15831691
100107,0.37243778
100109,0.23533753
100117,0.014292833
100128,0.14604518
100141,0.30542296
100150,0.011255689
100168,0.063294284
100169,0.0906467
100170,0.42496738
100171,0.8720752
100172,0.31482702
100184,0.5987518
100187,0.53117514
100212,0.8001604
100222,0.6130919
100223,0.028679462
100232,0.20323183
100241,0.32302436
100245,0.032396726
100253,0.0669387
100256,0.1804975
100271,0.08080772
100278,0.7943607
100280,0.10419919
100306,0.83591646
100311,0.48987427
100312,0.05152304
100330,0.23355526
100331,0.83193654
100352,0.5564032
100358,0.09530368
100367,0.62924343
100382,0.6650083
100384,0.272751
100385,0.801966
100386,0.34621358
100399,0.01053932
100404,0.41466683
100416,0.0136731155
100422,0.53664464
100426,0.017877793
100438,0.0556039
100444,0.7525806
100445,0.5145919
100446,0.036819186
100447,0.36949366
100450,0.16451235
100466,0.04887678
100483,0.4025739
100484,0.01703916
100494,0.13101082
100510,0.4696459
100512,0.5765018
100517,0.038437992
100548,0.13874671
100551,0.15732923
100552,0.15789272
100553,0.044784777
100561,0.37166202
100568,0.6446089
100569,0.40011936
100591,0.81078327
100592,0.16502638
100602,0.605804
100607,0.30996737
100613,0.5622436
100617,0.51489514
100618,0.27713028
100622,0.13098241
100625,0.5892735
100677,0.24947216
100699,0.1177937
100702,0.8034644
100711,0.6531067
100729,0.28371054
100740,0.62408763
100744,0.8626822
100745,0.13504647
100747,0.3624207
100751,0.45108464
100752,0.4439623
100753,0.566989
100754,0.6322335
100760,0.11795688
100762,0.4855222
100763,0.27873898
100765,0.18483345
100770,0.06790816
100772,0.011323134
100777,0.30399024
100791,0.008169757
100792,0.018674456
100797,0.08181046
100823,0.03970399
100826,0.070806004
100830,0.21889673
100836,0.7031982
100872,0.08365099
100910,0.27660766
100913,0.19939776
100918,0.14666966
100931,0.042598262
100952,0.06273908
100953,0.23820053
100965,0.3606079
100970,0.22023986
100982,0.56525105
100983,0.23094893
100984,0.11930445
100987,0.028952055
100997,0.15544356
100998,0.26419976
101002,0.09248415
101005,0.79939806
101008,0.5081379
101020,0.7238538
101021,0.0926
101024,0.14077488
101025,0.70072913
101026,0.8783734
101031,0.56912994
101041,0.044305243
101051,0.14637512
101055,0.14810722
101056,0.5960136
101057,0.21669193
101064,0.039917007
101079,0.6767585
101087,0.11230437
101090,0.45097426
101092,0.79909027
101097,0.8238089
101099,0.1754313
101107,0.5670918
101118,0.0759397
101125,0.22878727
101126,0.040336024
101128,0.24142492
101136,0.31921673
101140,0.6479001
101149,0.7388762
101160,0.7550184
101169,0.61771417
101181,0.038707886
101186,0.056283057
101190,0.27663952
101193,0.61512023
101194,0.24021226
101198,0.8555179
101200,0.4340587
101204,0.20722584
101211,0.4875428
101213,0.26159796
101223,0.64516866
101225,0.55732393
101237,0.12803581
101243,0.66563183
101244,0.6237941
101258,0.43958232
101259,0.8713326
101268,0.27585775
101269,0.14490099
101271,0.2341129
101279,0.35785532
101281,0.5010265
101287,0.13294445
101292,0.47651023
101294,0.08685149
101296,0.37332618
101297,0.00952787
101299,0.1463917
101301,0.3487693
101305,0.39571518
101308,0.18561526
101318,0.19633487
101327,0.8865546
101329,0.026086023
101332,0.54595304
101337,0.15152165
101343,0.024995452
101345,0.040642593
101346,0.01583502
101353,0.022445275
101354,0.39383602
101355,0.3455813
101356,0.1910683
101362,0.12518671
101363,0.7301575
101365,0.056986004
101366,0.7678341
101367,0.68537897
101368,0.0077149193
101374,0.9033071
101380,0.57594424
101383,0.16350237
101398,0.27767792
101399,0.57565427
101401,0.7103443
101412,0.12656061
101426,0.3001836
101427,0.55074114
101428,0.70579004
101429,0.40939113
101434,0.85409355
101440,0.39639294
101448,0.8956855
101449,0.08667098
101465,0.03741359
101467,0.2050503
101472,0.40921563
101478,0.4971872
101497,0.3270398
101504,0.12251242
101547,0.4430867
101548,0.23346761
101555,0.2323272
101570,0.05399945
101572,0.6705853
101578,0.11766504
101580,0.27869725
101588,0.4006588
101602,0.017231744
101610,0.31768832
101614,0.6574403
101616,0.014608584
101643,0.568828
101644,0.18237503
101649,0.086093925
101650,0.4665726
101665,0.04233246
101667,0.37159598
101669,0.60537755
101674,0.7333838
101675,0.09203152
101678,0.12120508
101682,0.12257644
101686,0.5714838
101697,0.57516956
101700,0.63427806
101711,0.47884524
101714,0.09255
101715,0.63397235
101728,0.29779506
101732,0.064476416
101757,0.53802836
101758,0.06081604
101759,0.4083242
101762,0.0126305325
101764,0.0739742
101780,0.22405598
101784,0.005638889
101789,0.11526696
101816,0.76690847
101819,0.20659465
101827,0.024147844
101863,0.124801
101867,0.52117634
101870,0.049001627
101873,0.3982898
101878,0.3061943
101879,0.25197232
101880,0.038953125
101887,0.22664861
101897,0.23773317
101901,0.07665285
101903,0.3390585
101920,0.5330974
101921,0.05600034
101922,0.15573592
101961,0.92064553
101962,0.19077177
101971,0.35167664
101976,0.62093884
102002,0.5485193
102005,0.053479947
102007,0.5175041
102017,0.42301443
102019,0.80958223
102029,0.21581616
102051,0.4835423
102052,0.0040055136
102054,0.028851334
102062,0.35865194
102067,0.8336052
102068,0.05143477
102070,0.16064556
102090,0.70273995
102092,0.5024671
102099,0.5379077
102100,0.08974677
102112,0.5755791
102113,0.0999589
102122,0.68498677
102123,0.3981262
102125,0.43987796
102126,0.13691786
102146,0.11435897
102147,0.5776628
102151,0.06886916
102158,0.85339826
102159,0.0740028
102162,0.23066969
102165,0.11265305
102166,0.5676399
102174,0.060813483
102193,0.6886501
102198,0.037558798
102205,0.64320374
102206,0.028479494
102218,0.16621053
102221,0.07522479
102230,0.07925563
102238,0.34375623
102248,0.07846187
102252,0.22660477
102259,0.53564966
102262,0.24965928
102273,0.06830718
102286,0.69714415
102293,0.29681563
102294,0.15176174
102296,0.29778776
102298,0.13503174
102303,0.1827057
102309,0.30998725
102315,0.03415248
102340,0.3425239
102342,0.46577728
102344,0.40151057
102346,0.33255917
102347,0.42221838
102374,0.7641695
102380,0.36918247
102387,0.32839978
102393,0.56406224
102403,0.050573643
102413,0.41552493
102414,0.01881873
102415,0.08148081
102416,0.55578715
102439,0.5468669
102441,0.41700774
102443,0.0067059146
102444,0.11730691
102445,0.5799537
102448,0.26506016
102449,0.49017856
102450,0.49950436
102456,0.19546153
102458,0.36032715
102459,0.04002392
102465,0.07009829
102470,0.25524735
102471,0.4735226
102475,0.5498872
102476,0.6502518
102506,0.10405385
102509,0.16750629
102519,0.2178933
102522,0.06990852
102545,0.16142532
102549,0.28694206
102562,0.019364508
102563,0.02538018
102568,0.4740459
102582,0.19015886
102592,0.04604829
102597,0.33342993
102605,0.5110388
102614,0.13927957
102617,0.65854985
102634,0.11675365
102652,0.058756355
102655,0.009501488
102671,0.50702345
102694,0.86617637
102701,0.22302522
102703,0.025464954
102704,0.050258536
102713,0.046889357
102720,0.9010156
102731,0.03461534
102733,0.15014493
102749,0.48456773
102755,0.08494087
102763,0.035095595
102770,0.06582246
102772,0.06840998
102799,0.6441336
102838,0.21565501
102854,0.16417994
102862,0.4829037
102863,0.50673085
102867,0.07063555
102868,0.023357758
102878,0.88527083
102887,0.12370955
102898,0.6491934
102904,0.5702665
102912,0.121745825
102919,0.2788083
102927,0.2673608
102932,0.39168194
102933,0.19678947
102935,0.24870439
102958,0.63065773
102969,0.49091694
102971,0.037643548
102975,0.58870703
102979,0.24016137
102982,0.04221569
102987,0.12685627
102989,0.0949327
102995,0.20296507
102996,0.36471984
103000,0.31386694
103001,0.2599331
103004,0.11089649
103010,0.15865222
103025,0.4176988
103029,0.036330443
103046,0.4915173
103056,0.55045986
103062,0.7472539
103078,0.042699445
103083,0.6572972
103092,0.58438605
103096,0.5405129
103097,0.34678975
103102,0.57675874
103112,0.062139206
103132,0.060748827
103144,0.5381343
103145,0.88824093
103146,0.024166312
103147,0.29390997
103158,0.21573694
103171,0.2561671
103173,0.04860727
103184,0.14686681
103195,0.2775774
103196,0.027097138
103206,0.095233046
103230,0.30902824
103231,0.43035007
103232,0.3477733
103239,0.10127244
103240,0.3331789
103243,0.051323447
103252,0.34141642
103258,0.04556094
103259,0.3319021
103279,0.90571094
103280,0.0044918098
103286,0.11344915
103287,0.6618134
103290,0.03776936
103298,0.21259938
103315,0.013381374
103319,0.5938138
103334,0.41075876
103336,0.22735661
103345,0.52740556
103368,0.02970367
103371,0.7607251
103377,0.11627453
103398,0.12960471
103404,0.68346715
103408,0.18884732
103410,0.8130754
103418,0.025311423
103420,0.78393346
103432,0.30798137
103433,0.16930504
103436,0.078415595
103440,0.0671006
103453,0.519042
103459,0.36561042
103460,0.21438459
103461,0.08244666
103462,0.10406059
103473,0.084819295
103474,0.040137414
103475,0.619263
103478,0.60195285
103480,0.4213189
103484,0.50005585
103494,0.67133164
103513,0.239197
103515,0.5911355
103516,0.2888413
